Entités ;BU;Fournisseurs;Objet ;Montants;Théorique ;Confirmé;Nbr de jour de retard;Urgence ;Commentaires ;Marque 
08. GF - 10;GF;;Loyer ;25458;05/09/2025;05/09/2025;0;Important ;;GF
08. GF - 10;GF;;Salaires ;17000;27/07/2025;25/07/2025;-2;Bloquant ;;GF
09. ECL - Nantes;ECL;Easing ;CAPEX;27720;27/06/2025;01/08/2025;35;Faible ;;ECL
09. ECL - Nantes;ECL;Easing ;CAPEX;18900,12;27/06/2025;25/07/2025;28;Faible ;;ECL
09. ECL - Nantes;ECL;Easing ;CAPEX;29570,78;06/06/2025;25/07/2025;49;Faible ;;ECL
09. ECL - Nantes;ECL;Froid Chaud ;CAPEX;9956,99;24/07/2025;25/07/2025;1;Faible ;;ECL
09. ECL - Nantes;ECL;Actif agencement ;CAPEX;6022,8;03/07/2025;25/07/2025;22;Important ;;ECL
09. ECL - Nantes;ECL;Mobilium ;Capex;10491,02;02/08/2025;08/08/2025;6;;;FBA
09. ECL - Nantes;ECL;;Charges sociales ;3000;15/08/2025;15/08/2025;0;Important ;;ECL
09. ECL - Nantes;ECL;Barbanel;Capex;7320;30/07/2025;01/08/2025;2;;;ECL
09. ECL - Nantes;ECL;;Salaires ;5000;27/07/2025;25/07/2025;-2;Bloquant ;;ECL
09. FBA - Rouen;FBA;Actif agencement ;Capex;9821,16;01/08/2025;08/08/2025;7;;;FBA
09. FBA - Rouen;FBA;Bi Plans ;Capex;9600;01/08/2025;08/08/2025;7;;;FBA
09. GF;GF;;Charges sociales ;32000;16/08/2025;15/08/2025;-1;Important ;;GF
09. GF;GF;;Loyer ;29630;01/08/2025;01/08/2025;0;Important ;;GF
09. GF;GF;;Loyer ;29630;05/09/2025;05/09/2025;0;Important ;;GF
09. GF;GF;;Salaires ;53000;27/07/2025;25/07/2025;-2;Bloquant ;;GF
09. SPA - Val d'Europe;SP;GDL ;CAPEX;105000;21/05/2025;01/08/2025;72;Important ;;SP
09. SPA - Val d'Europe;SP;Megazone;CAPEX;39180;15/04/2025;01/08/2025;108;Faible ;;SP
09. SPA - Val d'Europe;SP;;Charges sociales ;29000;16/08/2025;15/08/2025;-1;Important ;;SP
09. SPA - Val d'Europe;SP;;Salaires ;51000;27/07/2025;25/07/2025;-2;Bloquant ;;SP
10. ECL - Marseille ;ECL;PROMO SOL;CAPEX;21636,31;25/08/2025;22/08/2025;;Important ;;ECL
10. FBA - Toulouse;FBA;;Charges sociales ;5000;16/08/2025;15/08/2025;-1;Important ;;FBA
10. FBA - Toulouse;FBA;Monnaie de Paris ;Opex;5460;31/07/02025;01/08/2025;;;;FBA
10. FBA - Toulouse;FBA;;Salaires ;9500;27/07/2025;25/07/2025;-2;Bloquant ;;FBA
10. GF -Park;GF;;Charges sociales ;7500;16/08/2025;15/08/2025;-1;Important ;;GF
10. GF -Park;GF;;Loyer ;12000;01/08/2025;01/08/2025;0;Important ;;GF
10. GF -Park;GF;;Loyer ;12000;05/09/2025;05/09/2025;0;Important ;;GF
10. GF -Park;GF;;Salaires ;12000;27/07/2025;25/07/2025;-2;Bloquant ;;GF
10. SPA - SP Holding;SP;;Charges sociales ;18500;16/08/2025;15/08/2025;-1;Important ;;SP
10. SPA - SP Holding;SP;;Earn Out GF Salaise ;300000;07/07/2025;01/08/2025;25;Important ;;SP
10. SPA - SP Holding;SP;;Earn Out GFs;1436000;30/06/2025;01/08/2025;32;Important ;Négocié 1 mois;SP
10. SPA - SP Holding;SP;Mazars ;Honos ;8078,4;05/04/2025;01/08/2025;118;Faible ;;SP
10. SPA - SP Holding;SP;Efic ;Marketing offline;5670;26/03/2025;25/07/2025;121;Faible ;;SP
10. SPA - SP Holding;SP;;Salaires ;18500;27/07/2025;25/07/2025;-2;Bloquant ;;SP
10. SPA - SP Holding;SP;Acompte IS GF Salaise - David J;Impots ;181209;15/06/2025;01/08/2025;47;Faible ;;SP
11. FBA - Holding;FBA;;Charges sociales ;8000;16/08/2025;15/08/2025;-1;Important ;;FBA
11. FBA - Holding;FBA;One dry nugget ;Marketing offline;5184;01/07/2025;25/07/2025;;;;FBA
11. FBA - Holding;FBA;Eliade ;Licence Microsoft ;5362,2;12/07/2025;01/08/2025;20;Faible ;;FBA
11. FBA - Holding;FBA;Eliade ;Migration informatique;5400;04/07/2025;25/07/2025;21;Faible ;;FBA
11. FBA - Holding;FBA;Altiplano;R&D;12000;31/12/2024;08/08/2025;220;Faible ;Peut encore décaler;FBA
11. FBA - Holding;FBA;;Salaires ;11500;27/07/2025;25/07/2025;-2;Bloquant ;;FBA
11. GF - 3;GF;;Charges sociales ;19000;16/08/2025;15/08/2025;-1;Important ;;GF
11. GF - 3;GF;;Loyer ;27000;01/08/2025;01/08/2025;0;Important ;;GF
11. GF - 3;GF;;Loyer ;27000;05/09/2025;05/09/2025;0;Important ;;GF
11. GF - 3;GF;;Salaires ;31000;27/07/2025;25/07/2025;-2;Bloquant ;;GF
12. ECL - Lille;ECL;PROMO SOL;CAPEX;16452;24/07/2025;08/08/2025;15;Important ;;ECL
12. ECL - Lille;ECL;PROMO SOL;CAPEX;20052;24/07/2025;25/07/2025;1;Important ;;ECL
12. ECL - Lille;ECL;PROMO SOL;CAPEX;9612;24/07/2025;25/07/2025;1;Important ;;ECL
12. ECL - Lille;ECL;PROMO SOL;CAPEX;15372;24/07/2025;25/07/2025;1;Important ;;ECL
12. ECL - Lille;ECL;Bi Plans ;CAPEX;10800;24/07/2025;25/07/2025;1;Important ;;ECL
12. ECL - Lille;ECL;TD Synnex ;CAPEX;100000;30/07/2025;01/08/2025;2;Important ;;ECL
12. FBA - Epagny;FBA;Altiplano;CAPEX;10789,51;17/07/2025;25/07/2025;8;Faible ;;FBA
12. FBA - Epagny;FBA;;Charges sociales ;5500;16/08/2025;15/08/2025;-1;Important ;;FBA
12. FBA - Epagny;FBA;SCI Kiwi;Loyer ;16422,84667;01/07/2025;08/08/2025;38;Faible ;;FBA
12. FBA - Epagny;FBA;SCI Kiwi;Loyer ;16422,84667;01/07/2025;05/09/2025;66;Faible ;;FBA
12. FBA - Epagny;FBA;;Salaires ;10000;27/08/2025;22/08/2025;-5;Bloquant ;;FBA
12. GF - 21800;GF;;Charges sociales ;16500;16/08/2025;15/08/2025;-1;Important ;;GF
12. GF - 21800;GF;;Loyer ;24000;01/08/2025;01/08/2025;0;Important ;;GF
12. GF - 21800;GF;;Loyer ;24000;05/09/2025;05/09/2025;0;Important ;;GF
12. GF - 21800;GF;;Salaires ;24500;27/07/2025;25/07/2025;-2;Bloquant ;;GF
12. SPA - Aubergenville (X3);SP;Bi Plans ;CAPEX;12000;05/05/2025;25/07/2025;81;Important;;SP
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;22860,07;24/07/2025;08/08/2025;15;Important ;;FBA
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;8942,27;24/07/2025;08/08/2025;15;Important ;;FBA
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;21960,01;24/07/2025;08/08/2025;15;Important ;;FBA
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;12216,3;24/07/2025;08/08/2025;15;Important ;;FBA
13. FBA - Marseille (X7);FBA;Avista;CAPEX;14148;13/06/2025;25/07/2025;42;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;30480;06/06/2025;25/07/2025;49;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Easing ;CAPEX;47692,08;06/06/2025;25/07/2025;49;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Holight ;CAPEX;12047,83;30/07/2025;08/08/2025;9;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Altiplano ;CAPEX;174688,38;20/07/2025;15/08/2025;26;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Altiplano ;CAPEX;174688,38;04/08/2025;01/08/2025;-3;Faible ;;FBA
13. FBA - Marseille (X7);FBA;Wee technology;CAPEX;13443,18;06/06/2025;25/07/2025;49;Important ;Solde / pas sur spendesk ;FBA
13. FBA - Marseille (X7);FBA;Oiko gestion ;Loyer ;20901,7;01/07/2025;08/08/2025;38;Important ;;FBA
13. FBA - Marseille (X7);FBA;Oiko gestion ;Loyer ;20901,7;01/07/2025;05/09/2025;66;Important ;;FBA
13. GF - 25;GF;;Charges sociales ;18000;16/08/2025;15/08/2025;-1;Important ;;GF
13. GF - 25;GF;;Loyer ;30000;01/08/2025;01/08/2025;0;Important ;;GF
13. GF - 25;GF;;Loyer ;30000;05/09/2025;05/09/2025;0;Important ;;GF
13. GF - 25;GF;;Salaires ;24000;27/07/2025;25/07/2025;-2;Bloquant ;;GF
13. SPA - Cagnes-sur-Mer (X4);SP;;Loyer ;34646,33;01/07/2025;01/08/2025;31;Important ;;SP
14. GF - Salaise ;GF;;Impots ;181000;04/08/2025;08/08/2025;0;Important ;;GF
21 . SPA - Tours;SP;Bi plans ;CAPEX;12600;26/05/2025;25/07/2025;60;Faible ;;SP
14. SPA - Tours (X6);SP;GDL;MOD ;5700;21/05/2025;08/08/2025;79;Faible ;;SP
15. SPA - SP Dev;SP;Ensol;Developpement ;12000;04/07/2025;25/07/2025;21;Faible ;Avignon;SP
15. SPA - SP Dev;SP;Arval ;Developpement ;38400;29/04/2025;01/08/2025;94;Faible ;;SP
15. SPA - SP Dev;SP;Vinci Immo ;Developpement ;24000;27/10/2024;01/08/2025;278;Faible ;;SP
15. SPA - SP Dev;SP;;Loyer ;149240,21;01/07/2025;01/08/2025;31;Important ;;SP
15. SPA - SP Dev;SP;360;CAPEX;12000;23/06/2025;25/07/2025;;Important ;;SP
15. SPA - SP Dev;SP;Arval ;Capex;19200;01/07/2025;25/07/2025;24;Important ;;SP
15. SPA - SP Dev;SP;;Loyer ;43869,32;01/07/2025;01/08/2025;31;Important ;;SP
16. SPA - Servon;SP;Brain;CAPEX;22260;04/06/2025;01/08/2025;58;non validé sur Spend par CM - en attente Edouard;;SP
16. SPA - Servon;SP;Plast it;CAPEX;8460;14/05/2025;01/08/2025;79;non validé sur Spend par CM - en attente Edouard;;SP
16. SPA - Servon;SP;Bowltech;CAPEX;7399,7;01/05/2025;01/08/2025;92;non validé sur Spend par CM - en attente Edouard;;SP
16. SPA - Servon;SP;;Charges sociales ;17000;16/08/2025;15/08/2025;-1;Important ;;SP
16. SPA - Servon;SP;;Loyer ;37760,79;01/07/2025;08/08/2025;38;Important ;Prlv / Cpte non provisionné;SP
16. SPA - Servon;SP;;Loyer ;37760,79;01/07/2025;05/09/2025;66;Important ;Prlv / Cpte non provisionné;SP
16. SPA - Servon;SP;;Salaires ;31000;27/07/2025;25/07/2025;-2;Bloquant ;;SP
17. SPA - Imagi Park;SP;;Charges sociales ;12000;16/08/2025;15/08/2025;-1;Important ;;SP
17. SPA - Imagi Park;SP;;Salaires ;40000;27/07/2025;25/07/2025;-2;Bloquant ;;SP
18 . SPA - Topco;SP;Eurazeo;Interets;3700000;30/06/2025;25/07/2025;25;Bloquant ;Négocié 1 mois;SP
19 . SPA - Vitrolles (X5°;SP;GDL ;MOD ;5700;21/05/2025;25/07/2025;65;Faible ;;SP
19. ECL - ES HOUSE ;ECL;ASJ Ingeniera ;CAPEX;8031,38;02/06/2025;25/07/2025;53;Faible ;On peut surement décaller une semaine de plus;ECL
19. ECL - ES HOUSE ;ECL;Small;CAPEX;7166;13/06/2025;25/07/2025;42;Faible ;;ECL
19. ECL - ES HOUSE ;ECL;Small;CAPEX;7684,4;15/07/2025;25/07/2025;10;Faible ;;ECL
19. ECL - ES HOUSE ;ECL;Pressing ;CAPEX;21849;20/05/2025;25/07/2025;66;Important ;;ECL
19. ECL - ES HOUSE ;ECL;ASJ ;CAPEX;16336,06;15/07/2025;25/07/2025;10;Important ;;ECL
19. ECL - ES HOUSE ;ECL;KORDAN;CAPEX;109219,4;15/07/2025;25/07/2025;10;Important ;;ECL
19. ECL - ES HOUSE ;ECL;NAAR ;CAPEX;79409,6;15/07/2025;25/07/2025;10;Important ;;ECL
19. ECL - ES HOUSE ;ECL;AREA 2;CAPEX;73352,45;15/07/2025;25/07/2025;10;Important ;;ECL
19. ECL - ES HOUSE ;ECL ;;Salaires ;22000;20/08/2025;22/08/2025;2;Bloquant ;;ECL
09. KO Messancy ;KJU;Play Company ;Capex;130000;30/06/2025;25/07/2025;25;;;KJU 
08. KO Mini Waterloo;KJU;Cheer amusement ;Capex;40000;30/06/2025;25/07/2025;25;;;KJU 
05. KO Group ;KJU;Samurai ;Capex;31800;30/06/2025;25/07/2025;25;;;KJU 
05. KO Group ;KJU;CC Fabien ;Compte courant Fabien KJU;50000;30/06/2025;25/07/2025;25;;;KJU 
11. KO VDE;KJU;Pelissier ;Capex;36000;30/06/2025;25/07/2025;25;;;KJU 
11. KO VDE;KJU;Aeroclim;Capex;16800;30/06/2025;25/07/2025;25;;;KJU 
20 . SPA - Henin Bowl 62;SP;Declerck;CAPEX;45360;17/07/2025;01/08/2025;15;;;SP
20 . SPA - Henin Bowl 62;SP;XPLOSE;CAPEX;11280;16/06/2025;25/07/2025;39;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Aeroclim;CAPEX;13289,58;25/05/2025;01/08/2025;68;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Oliveira Fernandes ;CAPEX;12585,02;27/06/2025;01/08/2025;35;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Oliveira Fernandes ;CAPEX;17903,52;27/06/2025;01/08/2025;35;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Delta Security ;CAPEX;7920;28/06/2025;01/08/2025;34;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Ouvrages Eco ;CAPEX;96150,39;09/07/2025;01/08/2025;23;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;BFE DESIGN;Capex;86149,56;15/08/2025;15/08/2025;0;;;SP
20 . SPA - Henin Bowl 62;SP;Ouvrages Eco ;CAPEX;11490;09/07/2025;01/08/2025;23;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;501 Entertainment ;CAPEX;20000;26/06/2025;01/08/2025;36;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Bowling Cite Europe ;CAPEX;12859,2;19/05/2025;25/07/2025;67;Important ;;SP
20 . SPA - Henin Bowl 62;SP;LN2J;Capex;39204;07/07/2025;25/07/2025;18;Important ;;SP
20 . SPA - Henin Bowl 62;SP;Oliveira Fernandes ;Capex;12962,9;26/06/2025;25/07/2025;29;Important ;;SP
20 . SPA - Henin Bowl 62;SP;XPLOSE IN EAR;Capex;10884,96;07/07/2025;25/07/2025;18;;;SP
20 . SPA - Henin Bowl 62;SP;Declerck;CAPEX;9000;17/07/2025;25/07/2025;8;Important ;;SP
20 . SPA - Henin Bowl 62;SP;Declerck;CAPEX;36000;17/07/2025;01/08/2025;15;Faible ;;SP
20 . SPA - Henin Bowl 62;SP;Oliveira Fernandes ;Capex;7341,26;08/08/2025;08/08/2025;0;;;SP
20 . SPA - Henin Bowl 62;SP;Oliveira Fernandes ;Capex;12962,9;12/08/2025;15/08/2025;3;;;SP
20 . SPA - Henin Bowl 62;SP;LN2J;Capex;29403;11/08/2025;15/08/2025;4;Important ;;SP
20 . SPA - Henin Bowl 62;SP;;Charges sociales ;17000;16/08/2025;15/08/2025;-1;Important ;;SP
20 . SPA - Henin Bowl 62;SP;Foncière d'Hénin;Loyer ;71811,51667;01/07/2025;25/07/2025;24;Important ;;SP
20 . SPA - Henin Bowl 62;SP;Foncière d'Hénin;Loyer ;71811,51667;01/07/2025;08/08/2025;38;Important ;;SP
20 . SPA - Henin Bowl 62;SP;Foncière d'Hénin;Loyer ;71811,51667;01/07/2025;05/09/2025;66;Important ;;SP
20 . SPA - Henin Bowl 62;SP;;Salaires ;33000;27/07/2025;25/07/2025;-2;Bloquant ;;SP
20. ECL - Sevilla ;ECL;OZUP;Merch ;7035;25/07/2025;25/07/2025;0;;;ECL
HAD - Hadrena;OLC;Hadrena Jump France ;Acquisition Upper Avenue ;320000;;01/08/2025;;Bloquant ;;OLC
HAD - Hadrena;OLC;;Charges sociales ;350000;15/08/2025;15/08/2025;0;Important ;;OLC
HAD - Hadrena;OLC;;Charges sociales ;370000;16/08/2025;15/08/2025;-1;Important ;;OLC
HAD - Hadrena;OLC;;Charges sociales ;162800;16/08/2025;15/08/2025;-1;Important ;;OLC
HAD - Hadrena;OLC;Sonnar;Honos ;18000;15/07/2025;25/07/2025;;;;OLC
HAD - Hadrena;OLC;Ferber;Expenses - M&A fees;5533,65;28/04/2025;25/07/2025;88;Faible ;;OLC
HAD - Hadrena;OLC;;Fees acquisition Upper Avenue ;100000;;15/08/2025;;Important ;;OLC
HAD - Hadrena;OLC;Visconti;Honos ;4200;31/03/2025;25/07/2025;116;Important ;;OLC
HAD - Hadrena;OLC;Otium Management ;Loyer ;28500;05/05/2025;05/09/2025;123;Faible ;;OLC
HAD - Hadrena;OLC;Otium Management ;Loyer ;28500;02/06/2025;05/09/2025;95;Faible ;;OLC
HAD - Hadrena;OLC;Otium Management ;Loyer ;28500;01/04/2025;05/09/2025;157;Faible ;;OLC
HAD - Hadrena;OLC;Otium Management ;Loyer ;28500;04/03/2025;05/09/2025;185;Faible ;;OLC
HAD - Hadrena;OLC;Thomas Lecompte;Honos ;6600;01/08/2025;01/08/2025;0;;;OLC
HAD - Hadrena;OLC;Gaspard Randon;Honos ;12000;23/07/2025;25/07/2025;2;Important ;;OLC
HAD - Hadrena;OLC;Lamartine ;Honos ;13500;12/06/2025;01/08/2025;50;Faible ;;OLC
HAD - Hadrena;OLC;Efic ;Marketing offline;19423,31;12/07/2025;25/07/2025;13;Faible ;;OLC
HAD - Hadrena;OLC;Social Club ;Marketing offline;6870;24/07/2025;25/07/2025;1;Faible ;;OLC
HAD - Hadrena;OLC;Conductr;CAPEX;11700;23/07/2025;08/08/2025;16;Faible ;;OLC
HAD - Hadrena;OLC;Conductr;Capex;11700;23/07/2025;25/07/2025;2;;;OLC
HAD - Hadrena;OLC;Revolutionr;Marketing offline;6000;03/07/2025;25/07/2025;22;Faible ;;OLC
HAD - Hadrena;OLC;Apogea ;Projet Sage ;7200;30/04/2025;01/08/2025;93;Faible ;On peut grater un peu;OLC
HAD - Hadrena;OLC;Apogea ;Projet Sage ;8296,2;30/06/2025;01/08/2025;32;Faible ;On peut grater un peu;OLC
HAD - Hadrena;OLC;Apogea ;Projet Sage ;10830;30/06/2025;01/08/2025;32;Faible ;On peut grater un peu;OLC
HAD - Hadrena;OLC;Apogea ;Projet Sage ;5070;30/06/2025;01/08/2025;32;Faible ;On peut grater un peu;OLC
HAD - Hadrena;OLC;Apogea ;Projet Sage ;9125,82;30/05/2025;01/08/2025;63;Faible ;On peut grater un peu;OLC
HAD - Hadrena;OLC;;Salaires ;180000;27/07/2025;25/07/2025;-2;Bloquan ;;OLC
HAD - Hadrena;OLC;Declerck ;Travaux SIEC;6738;16/07/2025;01/08/2025;16;Faible ;;OLC
OCI - Otium City;OLC;ARTEK ;CAPEX;22794,42;06/02/2025;25/07/2025;169;Faible ;;OLC
OCI - Otium City;OLC;DANIEL ;CAPEX;34876,85;31/05/2025;25/07/2025;55;Faible ;;OLC
OCI - Otium City;OLC;FTE ;CAPEX;15696;28/03/2025;25/07/2025;119;Faible ;;OLC
OCI - Otium City;OLC;MTE;CAPEX;22332,72;29/06/2025;01/08/2025;33;Faible ;;OLC
OCI - Otium City;OLC;Rehlko ;CAPEX;5012,52;30/06/2025;01/08/2025;32;Faible ;;OLC
OCI - Otium City;OLC;ENEDIS ;CAPEX;7297,74;29/05/2025;15/08/2025;78;Faible ;;OLC
OCI - Otium City;OLC;ATC ;CAPEX;26400;25/07/2025;08/08/2025;14;;;OLC
OCI - Otium City;OLC;Ephemera ;Opex;18720;02/08/2025;08/08/2025;6;;;OLC
OCI - Otium City;OLC;ARTEK ;CAPEX;9094,13;07/08/2025;15/08/2025;8;;;OLC
OCI - Otium City;OLC;Sovilec ;CAPEX;8796,24;09/08/2025;15/08/2025;6;;;OLC
OCI - Otium City;OLC;Sagimeca;CAPEX;7798,2;29/05/2025;15/08/2025;78;Faible ;;OLC
OCI - Otium City;OLC;Pelissier;CAPEX;28342,87;27/06/2025;25/07/2025;28;Faible ;;OLC
OCI - Otium City;OLC;Pelissier;CAPEX;7638;27/06/2025;25/07/2025;28;Faible ;;OLC
OCI - Otium City;OLC;Legendry;CAPEX;34153,85;31/07/2025;15/08/2025;15;Faible ;;OLC
OCI - Otium City;OLC;Secovalde ;Loyer ;165264,86;01/08/2025;01/08/2025;0;Important ;Prlv;OLC
OCI - Otium City;OLC;Event Imagipark ;Marketing offline;17000;30/07/2025;01/08/2025;2;Important ;;OLC
OCI - Otium City;OLC;Event Imagipark ;Marketing offline;13000;31/07/2025;01/08/2025;1;Bloquant ;;OLC
